stars,month,year,sentiment,review
3.0,February,2024,negative,"Have been using this paste for sometime now and really liked it. But gradually they are reducing quantity and there is more of air. Have again ordered today 9.2.24, if I find the same again, this may be my last order and will switch to some other product"
4.0,February,2024,positive,Good qualityGood taste
1.0,January,2024,negative,Using cardamom one and is worst m telling u..
4.0,January,2024,neutral,"100% natural organic toothpaste, no chemicals... I have been using it for 2 months ... I am seeing a change , there were slight gaps between my teeths .. I can feel the gap is getting fulfil gradually ..Nice toothpaste go for it.. 👍"
1.0,January,2024,negative,"I was disappointed to find a feather in my toothpaste today. This unexpected and unhygienic discovery has shaken my confidence in the product's quality. Such incidents are unacceptable, and I urge the manufacturer to ensure better quality control."
5.0,January,2024,positive,Very nice 👌
4.0,January,2024,positive,Overall Good. Value for money.
1.0,January,2024,negative,"It is Really Waste Product, It doesn't Feel Like I brush my Teeth after Brushing.Trust me guys,Plz don't waste money"
5.0,November,2023,positive,But takes time to get adjusted to coming from standard toothpastes. Normal toothpastes give a freshness feel instantly but this paste takes some time to getting used to. It took me about one and half months to getting used to and after that this also feels fresh.
1.0,November,2023,positive,Flavour is good but I got mouth ulcer after using it
